ID	sex	level	constellation	birthday	country	province	city	address	diet_prefer	memo	hobby	price	stores
1000	2	8	11	1996	61	6	9	鼓楼区白马路315号	咸	抗压力,滑板	娱乐类	169	HFo4i
1001	1	2	8	2005	44	15	2	晋安区赤星路819号	甜	幽默,桌球	智力类	331	S3rPX
1002	1	2	7	2007	56	1	8	晋安区福马路987号	甜	不计较,桌球	娱乐类	114	NkW84
1003	2	9	1	1972	135	7	14	鼓楼区福新路763号	辣	勇敢,跑步	冒险类	262	FSriC
1004	2	5	5	2006	40	2	10	台江区广达路774号	甜	勇敢,滑板	收藏类	483	yKXr7
1005	1	2	9	1982	83	4	9	台江区大同路214号	咸	不计较,篮球	冒险类	67	SrEmJ
1006	2	2	11	2009	39	15	7	鼓楼区达明路861号	咸	幽默,桌球	游戏类	188	a9Z2I
1007	1	3	9	1980	168	18	5	鼓楼区达明路956号	甜	好奇,滑旱冰	运动类	402	nSoWZ
1008	2	10	1	1991	4	6	2	晋安区赤星路140号	酸	跨界思维,滑旱冰	冒险类	207	WIGEW
1009	1	2	2	1976	172	2	3	鼓楼区福新路269号	咸	勇敢,爬山	游戏类	271	H5Rg4
1010	2	8	3	1997	63	10	7	晋安区长春路994号	酸	创造力,跳绳	冒险类	438	79D9o
1011	2	8	3	1997	154	15	14	晋安区赤星路872号	苦	善於分析,滑板	智力类	233	Nplwl
1012	2	8	5	1990	165	15	13	鼓楼区达明路716号	辣	勇敢,爬山	娱乐类	98	sv7op
1013	2	2	12	1983	73	20	8	晋安区长春路600号	甜	好奇,滑旱冰	智力类	151	CWaqZ
1014	2	2	10	1983	47	13	8	鼓楼区福新路68号	苦	直觉好,爬山	游戏类	487	tYGyT
1015	1	4	5	1972	123	7	5	台江区工业路95号	甜	洞察力,滑旱冰	智力类	344	2gCa1
1016	2	10	5	1980	32	8	4	晋安区赤星路788号	辣	爱玩,乒乓球	运动类	163	zBjGp
1017	1	2	9	1998	133	16	12	晋安区福马路520号	甜	跨界思维,跑步	乐器类	350	okKoW
1018	1	7	10	1990	186	2	15	晋安区长春路818号	咸	善於分析,跑步	乐器类	402	tw6id
1019	2	7	7	1985	79	15	12	台江区长乐南路403号	辣	不计较,足球	运动类	350	TOnvn
1020	2	3	7	2005	181	2	12	晋安区福马路475号	辣	爱玩,滑板	运动类	310	TANsZ
1021	1	8	6	1985	115	4	2	晋安区后浦路972号	咸	创造力,桌球	乐器类	290	ZDCTH
1022	1	8	10	1988	73	5	10	鼓楼区八一七路54号	咸	非常冷静,桌球	乐器类	282	gHxzh
1023	1	6	7	1992	152	8	6	晋安区后浦路259号	咸	善於分析,足球	娱乐类	196	tTUJo
1024	1	8	11	1991	67	13	8	鼓楼区福新路891号	咸	非常冷静,滑旱冰	智力类	113	DJZyY
1025	1	4	2	1995	174	12	15	晋安区后浦路335号	酸	不计较,跳绳	智力类	248	83OeB
1026	1	6	9	2001	13	10	5	鼓楼区八一七路749号	咸	不计较,乒乓球	收藏类	373	GxyGB
1027	1	9	11	1989	103	10	8	鼓楼区白马路375号	苦	不计较,跑步	冒险类	479	E8NfU
1028	2	5	7	1991	49	1	10	鼓楼区福新路482号	苦	不计较,跑步	乐器类	125	sPpDS
1029	1	6	10	1982	65	14	9	晋安区长春路937号	苦	爱玩,跳绳	乐器类	166	MmCpW
1030	1	10	3	1975	98	4	15	鼓楼区福新路352号	苦	创造力,足球	收藏类	236	S147k
